trigger,device_type,device_id,description,timestamp_ms,timestamp_iso,timestamp_excel,batteryDefect,batteryLevel,batteryLevelOrig,batteryLow,batteryVoltage,lqi,manufacturer,model,motionStatus,ppc.charging,rssi,tamper,
8,10038,1fef000100976d28,Stair Motion Sensor,1574046466675,2019-11-18T03:07:46.675Z,11/18/2019 03:07:46,0,100,100,0,2.9,180,samjin,motion,1,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574046482511,2019-11-18T03:08:02.511Z,11/18/2019 03:08:02,0,100,100,0,2.9,180,samjin,motion,0,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574046497810,2019-11-18T03:08:17.810Z,11/18/2019 03:08:17,0,100,100,0,2.9,180,samjin,motion,1,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574046523707,2019-11-18T03:08:43.707Z,11/18/2019 03:08:43,0,100,100,0,2.9,180,samjin,motion,0,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574046540410,2019-11-18T03:09:00.410Z,11/18/2019 03:09:00,0,100,100,0,2.9,180,samjin,motion,1,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574046560254,2019-11-18T03:09:20.254Z,11/18/2019 03:09:20,0,100,100,0,2.9,180,samjin,motion,0,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574046672292,2019-11-18T03:11:12.292Z,11/18/2019 03:11:12,0,100,100,0,2.9,180,samjin,motion,1,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574046689391,2019-11-18T03:11:29.391Z,11/18/2019 03:11:29,0,100,100,0,2.9,180,samjin,motion,0,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574046710349,2019-11-18T03:11:50.349Z,11/18/2019 03:11:50,0,100,100,0,2.9,180,samjin,motion,1,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574046726756,2019-11-18T03:12:06.756Z,11/18/2019 03:12:06,0,100,100,0,2.9,180,samjin,motion,0,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574046816755,2019-11-18T03:13:36.755Z,11/18/2019 03:13:36,0,100,100,0,2.9,180,samjin,motion,1,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574046837440,2019-11-18T03:13:57.440Z,11/18/2019 03:13:57,0,100,100,0,2.9,180,samjin,motion,0,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574047369858,2019-11-18T03:22:49.858Z,11/18/2019 03:22:49,0,100,100,0,2.9,180,samjin,motion,1,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574047397192,2019-11-18T03:23:17.192Z,11/18/2019 03:23:17,0,100,100,0,2.9,180,samjin,motion,0,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574047400815,2019-11-18T03:23:20.815Z,11/18/2019 03:23:20,0,100,100,0,2.9,180,samjin,motion,1,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574047420743,2019-11-18T03:23:40.743Z,11/18/2019 03:23:40,0,100,100,0,2.9,180,samjin,motion,0,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574047654301,2019-11-18T03:27:34.301Z,11/18/2019 03:27:34,0,100,100,0,2.9,180,samjin,motion,1,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574047679381,2019-11-18T03:27:59.381Z,11/18/2019 03:27:59,0,100,100,0,2.9,180,samjin,motion,0,0,-61,0,
