trigger,device_type,device_id,description,timestamp_ms,timestamp_iso,timestamp_excel,batteryDefect,batteryLevel,batteryLevelOrig,batteryLow,batteryVoltage,deviceVersion,lqi,manufacturer,model,ppc.charging,rssi,tamper,waterFrozen,waterLeak,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574104966401,2019-11-18T19:22:46.401Z,11/18/2019 19:22:46,0,100,80,0,2.9,2C.01.14,188,greenpeak,gpd,0,-60,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574105866362,2019-11-18T19:37:46.362Z,11/18/2019 19:37:46,0,100,80,0,2.9,2C.01.14,184,greenpeak,gpd,0,-60,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574106766263,2019-11-18T19:52:46.263Z,11/18/2019 19:52:46,0,100,80,0,2.9,2C.01.14,188,greenpeak,gpd,0,-60,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574107666303,2019-11-18T20:07:46.303Z,11/18/2019 20:07:46,0,100,80,0,2.9,2C.01.14,168,greenpeak,gpd,0,-63,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574108566202,2019-11-18T20:22:46.202Z,11/18/2019 20:22:46,0,100,80,0,2.9,2C.01.14,196,greenpeak,gpd,0,-58,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574109466287,2019-11-18T20:37:46.287Z,11/18/2019 20:37:46,0,100,80,0,2.9,2C.01.14,196,greenpeak,gpd,0,-58,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574110366312,2019-11-18T20:52:46.312Z,11/18/2019 20:52:46,0,100,80,0,2.9,2C.01.14,160,greenpeak,gpd,0,-64,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574111266181,2019-11-18T21:07:46.181Z,11/18/2019 21:07:46,0,100,80,0,2.9,2C.01.14,168,greenpeak,gpd,0,-63,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574112166113,2019-11-18T21:22:46.113Z,11/18/2019 21:22:46,0,100,80,0,2.9,2C.01.14,164,greenpeak,gpd,0,-63,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574113066090,2019-11-18T21:37:46.090Z,11/18/2019 21:37:46,0,100,80,0,2.9,2C.01.14,188,greenpeak,gpd,0,-60,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574113966151,2019-11-18T21:52:46.151Z,11/18/2019 21:52:46,0,100,80,0,2.9,2C.01.14,184,greenpeak,gpd,0,-60,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574114866130,2019-11-18T22:07:46.130Z,11/18/2019 22:07:46,0,100,80,0,2.9,2C.01.14,180,greenpeak,gpd,0,-61,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574115765949,2019-11-18T22:22:45.949Z,11/18/2019 22:22:45,0,100,80,0,2.9,2C.01.14,180,greenpeak,gpd,0,-61,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574116666002,2019-11-18T22:37:46.002Z,11/18/2019 22:37:46,0,100,80,0,2.9,2C.01.14,188,greenpeak,gpd,0,-60,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574117566140,2019-11-18T22:52:46.140Z,11/18/2019 22:52:46,0,100,80,0,2.9,2C.01.14,188,greenpeak,gpd,0,-60,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574118465889,2019-11-18T23:07:45.889Z,11/18/2019 23:07:45,0,100,80,0,2.9,2C.01.14,156,greenpeak,gpd,0,-65,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574119365952,2019-11-18T23:22:45.952Z,11/18/2019 23:22:45,0,100,80,0,2.9,2C.01.14,184,greenpeak,gpd,0,-60,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574120265882,2019-11-18T23:37:45.882Z,11/18/2019 23:37:45,0,100,80,0,2.9,2C.01.14,188,greenpeak,gpd,0,-60,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574121165764,2019-11-18T23:52:45.764Z,11/18/2019 23:52:45,0,100,80,0,2.9,2C.01.14,148,greenpeak,gpd,0,-66,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574122065929,2019-11-19T00:07:45.929Z,11/19/2019 00:07:45,0,100,80,0,2.9,2C.01.14,168,greenpeak,gpd,0,-63,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574122965812,2019-11-19T00:22:45.812Z,11/19/2019 00:22:45,0,100,80,0,2.9,2C.01.14,164,greenpeak,gpd,0,-63,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574122968574,2019-11-19T00:22:48.574Z,11/19/2019 00:22:48,0,100,80,0,2.9,2C.01.14,172,greenpeak,gpd,0,-62,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574123865841,2019-11-19T00:37:45.841Z,11/19/2019 00:37:45,0,100,80,0,2.9,2C.01.14,160,greenpeak,gpd,0,-64,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574124765821,2019-11-19T00:52:45.821Z,11/19/2019 00:52:45,0,100,80,0,2.9,2C.01.14,200,greenpeak,gpd,0,-58,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574125665750,2019-11-19T01:07:45.750Z,11/19/2019 01:07:45,0,100,80,0,2.9,2C.01.14,200,greenpeak,gpd,0,-58,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574126565788,2019-11-19T01:22:45.788Z,11/19/2019 01:22:45,0,100,80,0,2.9,2C.01.14,216,greenpeak,gpd,0,-55,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574127465731,2019-11-19T01:37:45.731Z,11/19/2019 01:37:45,0,100,80,0,2.9,2C.01.14,204,greenpeak,gpd,0,-57,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574128365619,2019-11-19T01:52:45.619Z,11/19/2019 01:52:45,0,100,80,0,2.9,2C.01.14,208,greenpeak,gpd,0,-56,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574129265542,2019-11-19T02:07:45.542Z,11/19/2019 02:07:45,0,100,80,0,2.9,2C.01.14,216,greenpeak,gpd,0,-55,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574130165526,2019-11-19T02:22:45.526Z,11/19/2019 02:22:45,0,100,80,0,2.9,2C.01.14,220,greenpeak,gpd,0,-54,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574131065553,2019-11-19T02:37:45.553Z,11/19/2019 02:37:45,0,100,80,0,2.9,2C.01.14,204,greenpeak,gpd,0,-57,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574131965470,2019-11-19T02:52:45.470Z,11/19/2019 02:52:45,0,100,80,0,2.9,2C.01.14,204,greenpeak,gpd,0,-57,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574132865545,2019-11-19T03:07:45.545Z,11/19/2019 03:07:45,0,100,80,0,2.9,2C.01.14,212,greenpeak,gpd,0,-56,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574133765441,2019-11-19T03:22:45.441Z,11/19/2019 03:22:45,0,100,80,0,2.9,2C.01.14,216,greenpeak,gpd,0,-55,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574134665370,2019-11-19T03:37:45.370Z,11/19/2019 03:37:45,0,100,80,0,2.9,2C.01.14,212,greenpeak,gpd,0,-56,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574135565405,2019-11-19T03:52:45.405Z,11/19/2019 03:52:45,0,100,80,0,2.9,2C.01.14,196,greenpeak,gpd,0,-58,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574136465415,2019-11-19T04:07:45.415Z,11/19/2019 04:07:45,0,100,80,0,2.9,2C.01.14,216,greenpeak,gpd,0,-55,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574137365341,2019-11-19T04:22:45.341Z,11/19/2019 04:22:45,0,100,80,0,2.9,2C.01.14,212,greenpeak,gpd,0,-56,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574138265270,2019-11-19T04:37:45.270Z,11/19/2019 04:37:45,0,100,80,0,2.9,2C.01.14,212,greenpeak,gpd,0,-56,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574139165432,2019-11-19T04:52:45.432Z,11/19/2019 04:52:45,0,100,80,0,2.9,2C.01.14,208,greenpeak,gpd,0,-56,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574144565025,2019-11-19T06:22:45.025Z,11/19/2019 06:22:45,0,100,80,0,2.9,2C.01.14,208,greenpeak,gpd,0,-56,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574144567795,2019-11-19T06:22:47.795Z,11/19/2019 06:22:47,0,100,80,0,2.9,2C.01.14,216,greenpeak,gpd,0,-55,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574145465130,2019-11-19T06:37:45.130Z,11/19/2019 06:37:45,0,100,80,0,2.9,2C.01.14,208,greenpeak,gpd,0,-56,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574149964891,2019-11-19T07:52:44.891Z,11/19/2019 07:52:44,0,100,80,0,2.9,2C.01.14,208,greenpeak,gpd,0,-56,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574150864842,2019-11-19T08:07:44.842Z,11/19/2019 08:07:44,0,100,80,0,2.9,2C.01.14,212,greenpeak,gpd,0,-56,1,0,0,
