trigger,device_type,device_id,description,timestamp_ms,timestamp_iso,timestamp_excel,batteryLevel,batteryVoltage,degC,deviceVersion,lqi,manufacturer,model,relativeHumidity,rssi,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574061066047,2019-11-18T07:11:06.047Z,11/18/2019 07:11:06,75,2.6,21.9,12.26.01,144,greenpeak,gpd,48,-67,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574061966545,2019-11-18T07:26:06.545Z,11/18/2019 07:26:06,75,2.6,21.9,12.26.01,100,greenpeak,gpd,48,-74,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574061967471,2019-11-18T07:26:07.471Z,11/18/2019 07:26:07,75,2.6,21.8,12.26.01,144,greenpeak,gpd,48,-67,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574062867902,2019-11-18T07:41:07.902Z,11/18/2019 07:41:07,75,2.6,21.8,12.26.01,136,greenpeak,gpd,48,-68,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574062868746,2019-11-18T07:41:08.746Z,11/18/2019 07:41:08,75,2.6,21.9,12.26.01,144,greenpeak,gpd,48,-67,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574063769883,2019-11-18T07:56:09.883Z,11/18/2019 07:56:09,75,2.6,21.9,12.26.01,144,greenpeak,gpd,48,-67,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574064670542,2019-11-18T08:11:10.542Z,11/18/2019 08:11:10,75,2.6,21.9,12.26.01,100,greenpeak,gpd,48,-74,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574064671317,2019-11-18T08:11:11.317Z,11/18/2019 08:11:11,75,2.6,21.8,12.26.01,100,greenpeak,gpd,48,-74,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574065571813,2019-11-18T08:26:11.813Z,11/18/2019 08:26:11,75,2.6,21.8,12.26.01,100,greenpeak,gpd,48,-74,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574065572587,2019-11-18T08:26:12.587Z,11/18/2019 08:26:12,75,2.6,22.0,12.26.01,144,greenpeak,gpd,48,-67,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574066472969,2019-11-18T08:41:12.969Z,11/18/2019 08:41:12,75,2.6,22.0,12.26.01,100,greenpeak,gpd,48,-74,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574066473996,2019-11-18T08:41:13.996Z,11/18/2019 08:41:13,75,2.6,22.0,12.26.01,144,greenpeak,gpd,48,-67,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574067375034,2019-11-18T08:56:15.034Z,11/18/2019 08:56:15,75,2.6,21.9,12.26.01,144,greenpeak,gpd,48,-67,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574068275549,2019-11-18T09:11:15.549Z,11/18/2019 09:11:15,75,2.6,21.9,12.26.01,100,greenpeak,gpd,48,-74,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574068276409,2019-11-18T09:11:16.409Z,11/18/2019 09:11:16,75,2.6,22.0,12.26.01,100,greenpeak,gpd,48,-74,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574069176850,2019-11-18T09:26:16.850Z,11/18/2019 09:26:16,75,2.6,22.0,12.26.01,144,greenpeak,gpd,48,-67,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574069177546,2019-11-18T09:26:17.546Z,11/18/2019 09:26:17,75,2.6,22.0,12.26.01,100,greenpeak,gpd,48,-74,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574070078122,2019-11-18T09:41:18.122Z,11/18/2019 09:41:18,75,2.6,22.0,12.26.01,96,greenpeak,gpd,48,-75,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574070078897,2019-11-18T09:41:18.897Z,11/18/2019 09:41:18,75,2.6,21.9,12.26.01,100,greenpeak,gpd,48,-74,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574070979480,2019-11-18T09:56:19.480Z,11/18/2019 09:56:19,75,2.6,21.9,12.26.01,144,greenpeak,gpd,48,-67,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574070980132,2019-11-18T09:56:20.132Z,11/18/2019 09:56:20,75,2.6,21.9,12.26.01,96,greenpeak,gpd,48,-75,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574071881337,2019-11-18T10:11:21.337Z,11/18/2019 10:11:21,75,2.6,21.9,12.26.01,148,greenpeak,gpd,48,-66,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574071881641,2019-11-18T10:11:21.641Z,11/18/2019 10:11:21,75,2.6,22.0,12.26.01,96,greenpeak,gpd,48,-75,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574072782578,2019-11-18T10:26:22.578Z,11/18/2019 10:26:22,75,2.6,22.0,12.26.01,144,greenpeak,gpd,48,-67,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574072782754,2019-11-18T10:26:22.754Z,11/18/2019 10:26:22,75,2.6,21.9,12.26.01,100,greenpeak,gpd,48,-74,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574073683309,2019-11-18T10:41:23.309Z,11/18/2019 10:41:23,75,2.6,21.9,12.26.01,140,greenpeak,gpd,49,-67,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574073684080,2019-11-18T10:41:24.080Z,11/18/2019 10:41:24,75,2.6,21.9,12.26.01,144,greenpeak,gpd,49,-67,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574074164073,2019-11-18T10:49:24.073Z,11/18/2019 10:49:24,75,2.6,21.9,12.26.01,84,greenpeak,gpd,48,-77,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574074165077,2019-11-18T10:49:25.077Z,11/18/2019 10:49:25,75,2.6,22.2,12.26.01,128,greenpeak,gpd,48,-69,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574074464501,2019-11-18T10:54:24.501Z,11/18/2019 10:54:24,75,2.6,22.2,12.26.01,120,greenpeak,gpd,49,-71,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574074465271,2019-11-18T10:54:25.271Z,11/18/2019 10:54:25,75,2.6,22.5,12.26.01,132,greenpeak,gpd,49,-69,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574074764921,2019-11-18T10:59:24.921Z,11/18/2019 10:59:24,75,2.6,22.5,12.26.01,116,greenpeak,gpd,48,-71,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574074765664,2019-11-18T10:59:25.664Z,11/18/2019 10:59:25,75,2.6,22.8,12.26.01,112,greenpeak,gpd,48,-72,
