trigger,device_type,device_id,description,timestamp_ms,timestamp_iso,timestamp_excel,batteryLevel,batteryLevelOrig,batteryVoltage,degC,lqi,manufacturer,model,rssi,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574108755074,2019-11-18T20:25:55.074Z,11/18/2019 20:25:55,100,60,2.9,24.0,116,greenpeak,gpd,-71,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574109655200,2019-11-18T20:40:55.200Z,11/18/2019 20:40:55,100,60,2.9,25.0,156,greenpeak,gpd,-65,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574110555090,2019-11-18T20:55:55.090Z,11/18/2019 20:55:55,100,60,2.9,24.0,156,greenpeak,gpd,-65,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574111455132,2019-11-18T21:10:55.132Z,11/18/2019 21:10:55,100,60,2.9,24.0,108,greenpeak,gpd,-73,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574112354906,2019-11-18T21:25:54.906Z,11/18/2019 21:25:54,100,60,2.9,24.0,108,greenpeak,gpd,-73,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574113254953,2019-11-18T21:40:54.953Z,11/18/2019 21:40:54,100,60,2.9,24.0,156,greenpeak,gpd,-65,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574114154824,2019-11-18T21:55:54.824Z,11/18/2019 21:55:54,100,60,2.9,24.0,112,greenpeak,gpd,-72,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574115054775,2019-11-18T22:10:54.775Z,11/18/2019 22:10:54,100,60,2.9,24.0,144,greenpeak,gpd,-67,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574115954950,2019-11-18T22:25:54.950Z,11/18/2019 22:25:54,100,60,2.9,24.0,80,greenpeak,gpd,-77,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574116854783,2019-11-18T22:40:54.783Z,11/18/2019 22:40:54,100,60,2.9,24.0,112,greenpeak,gpd,-72,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574117754698,2019-11-18T22:55:54.698Z,11/18/2019 22:55:54,100,60,2.9,24.0,64,greenpeak,gpd,-80,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574118654617,2019-11-18T23:10:54.617Z,11/18/2019 23:10:54,100,60,2.9,24.0,108,greenpeak,gpd,-73,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574119555241,2019-11-18T23:25:55.241Z,11/18/2019 23:25:55,100,60,2.9,24.0,152,greenpeak,gpd,-65,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574119557404,2019-11-18T23:25:57.404Z,11/18/2019 23:25:57,100,60,2.9,24.0,152,greenpeak,gpd,-65,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574120455226,2019-11-18T23:40:55.226Z,11/18/2019 23:40:55,100,60,2.9,24.0,108,greenpeak,gpd,-73,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574121355209,2019-11-18T23:55:55.209Z,11/18/2019 23:55:55,100,60,2.9,24.0,112,greenpeak,gpd,-72,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574122254535,2019-11-19T00:10:54.535Z,11/19/2019 00:10:54,100,60,2.9,24.0,124,greenpeak,gpd,-70,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574123155057,2019-11-19T00:25:55.057Z,11/19/2019 00:25:55,100,60,2.9,24.0,88,greenpeak,gpd,-76,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574124055166,2019-11-19T00:40:55.166Z,11/19/2019 00:40:55,100,60,2.9,25.0,84,greenpeak,gpd,-77,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574124954421,2019-11-19T00:55:54.421Z,11/19/2019 00:55:54,100,60,2.9,25.0,128,greenpeak,gpd,-69,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574125854344,2019-11-19T01:10:54.344Z,11/19/2019 01:10:54,100,60,2.9,25.0,112,greenpeak,gpd,-72,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574126754417,2019-11-19T01:25:54.417Z,11/19/2019 01:25:54,100,60,2.9,24.0,140,greenpeak,gpd,-67,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574127654320,2019-11-19T01:40:54.320Z,11/19/2019 01:40:54,100,60,2.9,24.0,112,greenpeak,gpd,-72,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574128554208,2019-11-19T01:55:54.208Z,11/19/2019 01:55:54,100,60,2.9,25.0,144,greenpeak,gpd,-67,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574129454198,2019-11-19T02:10:54.198Z,11/19/2019 02:10:54,100,60,2.9,25.0,124,greenpeak,gpd,-70,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574130354265,2019-11-19T02:25:54.265Z,11/19/2019 02:25:54,100,60,2.9,25.0,124,greenpeak,gpd,-70,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574131254239,2019-11-19T02:40:54.239Z,11/19/2019 02:40:54,100,60,2.9,25.0,136,greenpeak,gpd,-68,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574132154130,2019-11-19T02:55:54.130Z,11/19/2019 02:55:54,100,60,2.9,25.0,140,greenpeak,gpd,-67,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574133054223,2019-11-19T03:10:54.223Z,11/19/2019 03:10:54,100,60,2.9,25.0,44,greenpeak,gpd,-83,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574133954067,2019-11-19T03:25:54.067Z,11/19/2019 03:25:54,100,60,2.9,25.0,120,greenpeak,gpd,-71,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574134853963,2019-11-19T03:40:53.963Z,11/19/2019 03:40:53,100,60,2.9,25.0,92,greenpeak,gpd,-75,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574136653891,2019-11-19T04:10:53.891Z,11/19/2019 04:10:53,100,60,2.9,25.0,92,greenpeak,gpd,-75,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574137553828,2019-11-19T04:25:53.828Z,11/19/2019 04:25:53,100,60,2.9,25.0,124,greenpeak,gpd,-70,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574138454422,2019-11-19T04:40:54.422Z,11/19/2019 04:40:54,100,60,2.9,25.0,84,greenpeak,gpd,-77,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574139354294,2019-11-19T04:55:54.294Z,11/19/2019 04:55:54,100,60,2.9,25.0,120,greenpeak,gpd,-71,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574140254039,2019-11-19T05:10:54.039Z,11/19/2019 05:10:54,100,60,2.9,25.0,84,greenpeak,gpd,-77,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574141153671,2019-11-19T05:25:53.671Z,11/19/2019 05:25:53,100,60,2.9,25.0,80,greenpeak,gpd,-77,
