trigger,device_type,device_id,description,timestamp_ms,timestamp_iso,timestamp_excel,batteryDefect,batteryLevel,batteryLow,batteryVoltage,deviceVersion,lqi,manufacturer,model,motionStatus,ppc.charging,rssi,tamper,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574048179010,2019-11-18T03:36:19.010Z,11/18/2019 03:36:19,0,100,0,3.0,13.26.01,204,greenpeak,gpd,0,0,-57,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574049078958,2019-11-18T03:51:18.958Z,11/18/2019 03:51:18,0,100,0,3.0,13.26.01,200,greenpeak,gpd,0,0,-58,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574049752565,2019-11-18T04:02:32.565Z,11/18/2019 04:02:32,0,100,0,3.0,13.26.01,204,greenpeak,gpd,1,0,-57,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574049760449,2019-11-18T04:02:40.449Z,11/18/2019 04:02:40,0,100,0,3.0,13.26.01,208,greenpeak,gpd,0,0,-56,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574049839278,2019-11-18T04:03:59.278Z,11/18/2019 04:03:59,0,100,0,3.0,13.26.01,196,greenpeak,gpd,1,0,-58,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574049843189,2019-11-18T04:04:03.189Z,11/18/2019 04:04:03,0,100,0,3.0,13.26.01,212,greenpeak,gpd,0,0,-56,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574049846210,2019-11-18T04:04:06.210Z,11/18/2019 04:04:06,0,100,0,3.0,13.26.01,212,greenpeak,gpd,1,0,-56,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574049852210,2019-11-18T04:04:12.210Z,11/18/2019 04:04:12,0,100,0,3.0,13.26.01,208,greenpeak,gpd,0,0,-56,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574049972397,2019-11-18T04:06:12.397Z,11/18/2019 04:06:12,0,100,0,3.0,13.26.01,212,greenpeak,gpd,1,0,-56,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574049980265,2019-11-18T04:06:20.265Z,11/18/2019 04:06:20,0,100,0,3.0,13.26.01,212,greenpeak,gpd,0,0,-56,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574049982804,2019-11-18T04:06:22.804Z,11/18/2019 04:06:22,0,100,0,3.0,13.26.01,208,greenpeak,gpd,1,0,-56,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574049990706,2019-11-18T04:06:30.706Z,11/18/2019 04:06:30,0,100,0,3.0,13.26.01,208,greenpeak,gpd,0,0,-56,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574049995016,2019-11-18T04:06:35.016Z,11/18/2019 04:06:35,0,100,0,3.0,13.26.01,208,greenpeak,gpd,1,0,-56,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574049998951,2019-11-18T04:06:38.951Z,11/18/2019 04:06:38,0,100,0,3.0,13.26.01,208,greenpeak,gpd,0,0,-56,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574050012980,2019-11-18T04:06:52.980Z,11/18/2019 04:06:52,0,100,0,3.0,13.26.01,208,greenpeak,gpd,1,0,-56,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574050018766,2019-11-18T04:06:58.766Z,11/18/2019 04:06:58,0,100,0,3.0,13.26.01,204,greenpeak,gpd,0,0,-57,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574050146620,2019-11-18T04:09:06.620Z,11/18/2019 04:09:06,0,100,0,3.0,13.26.01,196,greenpeak,gpd,1,0,-58,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574050154610,2019-11-18T04:09:14.610Z,11/18/2019 04:09:14,0,100,0,3.0,13.26.01,188,greenpeak,gpd,0,0,-60,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574050313080,2019-11-18T04:11:53.080Z,11/18/2019 04:11:53,0,100,0,3.0,13.26.01,180,greenpeak,gpd,1,0,-61,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574050323069,2019-11-18T04:12:03.069Z,11/18/2019 04:12:03,0,100,0,3.0,13.26.01,180,greenpeak,gpd,0,0,-61,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574050361225,2019-11-18T04:12:41.225Z,11/18/2019 04:12:41,0,100,0,3.0,13.26.01,148,greenpeak,gpd,1,0,-66,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574050364801,2019-11-18T04:12:44.801Z,11/18/2019 04:12:44,0,100,0,3.0,13.26.01,200,greenpeak,gpd,0,0,-58,0,
