trigger,device_type,device_id,description,timestamp_ms,timestamp_iso,timestamp_excel,batteryDefect,batteryLevel,batteryLevelOrig,batteryLow,batteryVoltage,lqi,manufacturer,model,motionStatus,ppc.charging,rssi,tamper,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574045496137,2019-11-18T02:51:36.137Z,11/18/2019 02:51:36,0,100,80,0,2.8,224,greenpeak,gpd,0,0,-54,0,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574045612199,2019-11-18T02:53:32.199Z,11/18/2019 02:53:32,0,100,80,0,2.8,224,greenpeak,gpd,1,0,-54,0,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574045627606,2019-11-18T02:53:47.606Z,11/18/2019 02:53:47,0,100,80,0,2.8,220,greenpeak,gpd,0,0,-54,0,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574045683308,2019-11-18T02:54:43.308Z,11/18/2019 02:54:43,0,100,80,0,2.8,228,greenpeak,gpd,1,0,-53,0,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574045698815,2019-11-18T02:54:58.815Z,11/18/2019 02:54:58,0,100,80,0,2.8,220,greenpeak,gpd,0,0,-54,0,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574046131371,2019-11-18T03:02:11.371Z,11/18/2019 03:02:11,0,100,80,0,2.8,224,greenpeak,gpd,1,0,-54,0,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574046146814,2019-11-18T03:02:26.814Z,11/18/2019 03:02:26,0,100,80,0,2.8,224,greenpeak,gpd,0,0,-54,0,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574046158927,2019-11-18T03:02:38.927Z,11/18/2019 03:02:38,0,100,80,0,2.8,224,greenpeak,gpd,1,0,-54,0,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574046174319,2019-11-18T03:02:54.319Z,11/18/2019 03:02:54,0,100,80,0,2.8,220,greenpeak,gpd,0,0,-54,0,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574046270139,2019-11-18T03:04:30.139Z,11/18/2019 03:04:30,0,100,80,0,2.8,220,greenpeak,gpd,1,0,-54,0,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574046285664,2019-11-18T03:04:45.664Z,11/18/2019 03:04:45,0,100,80,0,2.8,220,greenpeak,gpd,0,0,-54,0,
