trigger,device_type,device_id,description,timestamp_ms,timestamp_iso,timestamp_excel,batteryLevel,batteryVoltage,degC,deviceVersion,lqi,manufacturer,model,relativeHumidity,rssi,
8,10034,FFFFFFFF006fbd34,Microwave New TempHumidity Sensor,1574060976236,2019-11-18T07:09:36.236Z,11/18/2019 07:09:36,100,2.8,21.0,12.26.01,72,greenpeak,gpd,53,-79,
8,10034,FFFFFFFF006fbd34,Microwave New TempHumidity Sensor,1574060977145,2019-11-18T07:09:37.145Z,11/18/2019 07:09:37,100,2.8,20.9,12.26.01,68,greenpeak,gpd,53,-79,
8,10034,FFFFFFFF006fbd34,Microwave New TempHumidity Sensor,1574061877568,2019-11-18T07:24:37.568Z,11/18/2019 07:24:37,100,2.8,20.9,12.26.01,72,greenpeak,gpd,53,-79,
8,10034,FFFFFFFF006fbd34,Microwave New TempHumidity Sensor,1574061878419,2019-11-18T07:24:38.419Z,11/18/2019 07:24:38,100,2.8,20.9,12.26.01,104,greenpeak,gpd,53,-73,
8,10034,FFFFFFFF006fbd34,Microwave New TempHumidity Sensor,1574062778757,2019-11-18T07:39:38.757Z,11/18/2019 07:39:38,100,2.8,20.9,12.26.01,104,greenpeak,gpd,53,-73,
8,10034,FFFFFFFF006fbd34,Microwave New TempHumidity Sensor,1574062779684,2019-11-18T07:39:39.684Z,11/18/2019 07:39:39,100,2.8,20.8,12.26.01,100,greenpeak,gpd,53,-74,
8,10034,FFFFFFFF006fbd34,Microwave New TempHumidity Sensor,1574063680036,2019-11-18T07:54:40.036Z,11/18/2019 07:54:40,100,2.8,20.8,12.26.01,68,greenpeak,gpd,53,-79,
8,10034,FFFFFFFF006fbd34,Microwave New TempHumidity Sensor,1574063681003,2019-11-18T07:54:41.003Z,11/18/2019 07:54:41,100,2.8,20.8,12.26.01,104,greenpeak,gpd,53,-73,
8,10034,FFFFFFFF006fbd34,Microwave New TempHumidity Sensor,1574064581441,2019-11-18T08:09:41.441Z,11/18/2019 08:09:41,100,2.8,20.8,12.26.01,104,greenpeak,gpd,53,-73,
8,10034,FFFFFFFF006fbd34,Microwave New TempHumidity Sensor,1574064582107,2019-11-18T08:09:42.107Z,11/18/2019 08:09:42,100,2.8,20.8,12.26.01,108,greenpeak,gpd,53,-73,
8,10034,FFFFFFFF006fbd34,Microwave New TempHumidity Sensor,1574065482616,2019-11-18T08:24:42.616Z,11/18/2019 08:24:42,100,2.8,20.8,12.26.01,72,greenpeak,gpd,53,-79,
8,10034,FFFFFFFF006fbd34,Microwave New TempHumidity Sensor,1574065483467,2019-11-18T08:24:43.467Z,11/18/2019 08:24:43,100,2.8,20.7,12.26.01,72,greenpeak,gpd,53,-79,
8,10034,FFFFFFFF006fbd34,Microwave New TempHumidity Sensor,1574066383900,2019-11-18T08:39:43.900Z,11/18/2019 08:39:43,100,2.8,20.7,12.26.01,104,greenpeak,gpd,54,-73,
8,10034,FFFFFFFF006fbd34,Microwave New TempHumidity Sensor,1574066384752,2019-11-18T08:39:44.752Z,11/18/2019 08:39:44,100,2.8,20.7,12.26.01,72,greenpeak,gpd,54,-79,
8,10034,FFFFFFFF006fbd34,Microwave New TempHumidity Sensor,1574067285217,2019-11-18T08:54:45.217Z,11/18/2019 08:54:45,100,2.8,20.7,12.26.01,72,greenpeak,gpd,54,-79,
8,10034,FFFFFFFF006fbd34,Microwave New TempHumidity Sensor,1574067286072,2019-11-18T08:54:46.072Z,11/18/2019 08:54:46,100,2.8,20.7,12.26.01,104,greenpeak,gpd,54,-73,
8,10034,FFFFFFFF006fbd34,Microwave New TempHumidity Sensor,1574068186460,2019-11-18T09:09:46.460Z,11/18/2019 09:09:46,100,2.8,20.7,12.26.01,72,greenpeak,gpd,53,-79,
