timestamp_ms,timestamp_iso,timestamp_excel,doorStatus,lqi,rssi
1.57417E+12,2019-11-19T12:51:47.368Z,11/19/2019 12:51,0,52,-82
1.57417E+12,2019-11-19T12:52:07.374Z,11/19/2019 12:52,0,52,-82
1.57417E+12,2019-11-19T13:07:08.038Z,11/19/2019 13:07,0,88,-76
1.57417E+12,2019-11-19T13:22:08.160Z,11/19/2019 13:22,0,84,-77
1.57417E+12,2019-11-19T13:37:07.950Z,11/19/2019 13:37,0,80,-77
1.57417E+12,2019-11-19T13:52:07.944Z,11/19/2019 13:52,0,84,-77
1.57417E+12,2019-11-19T14:07:08.023Z,11/19/2019 14:07,0,40,-84
1.57417E+12,2019-11-19T14:22:07.422Z,11/19/2019 14:22,0,80,-77
1.57417E+12,2019-11-19T14:37:07.535Z,11/19/2019 14:37,0,76,-78
1.57418E+12,2019-11-19T14:52:07.468Z,11/19/2019 14:52,0,84,-77
1.57418E+12,2019-11-19T15:07:08.039Z,11/19/2019 15:07,0,76,-78
1.57418E+12,2019-11-19T15:22:07.476Z,11/19/2019 15:22,0,52,-82
1.57418E+12,2019-11-19T15:37:07.339Z,11/19/2019 15:37,0,48,-83
1.57418E+12,2019-11-19T15:52:07.334Z,11/19/2019 15:52,0,56,-81
1.57418E+12,2019-11-19T16:07:07.304Z,11/19/2019 16:07,0,40,-84
1.57418E+12,2019-11-19T16:22:07.261Z,11/19/2019 16:22,0,64,-80
1.57418E+12,2019-11-19T16:37:07.903Z,11/19/2019 16:37,0,44,-83
1.57418E+12,2019-11-19T16:52:07.313Z,11/19/2019 16:52,0,88,-76
1.57418E+12,2019-11-19T17:07:07.297Z,11/19/2019 17:07,0,80,-77
1.57418E+12,2019-11-19T17:22:07.255Z,11/19/2019 17:22,0,80,-77
1.57419E+12,2019-11-19T17:37:07.155Z,11/19/2019 17:37,0,76,-78
1.57419E+12,2019-11-19T17:52:07.323Z,11/19/2019 17:52,0,88,-76
1.57419E+12,2019-11-19T18:07:07.220Z,11/19/2019 18:07,0,72,-79
1.57419E+12,2019-11-19T18:37:07.169Z,11/19/2019 18:37,0,72,-79
1.57419E+12,2019-11-19T18:51:46.829Z,11/19/2019 18:51,0,76,-78
1.57419E+12,2019-11-19T18:52:07.109Z,11/19/2019 18:52,0,72,-79
1.57419E+12,2019-11-19T19:07:07.144Z,11/19/2019 19:07,0,72,-79
1.57419E+12,2019-11-19T19:22:07.243Z,11/19/2019 19:22,0,60,-81
1.57419E+12,2019-11-19T19:37:07.121Z,11/19/2019 19:37,0,92,-75
1.57419E+12,2019-11-19T19:52:07.045Z,11/19/2019 19:52,0,76,-78
1.57419E+12,2019-11-19T20:07:07.129Z,11/19/2019 20:07,0,72,-79
1.57419E+12,2019-11-19T20:07:10.050Z,11/19/2019 20:07,0,100,-74
1.57419E+12,2019-11-19T20:22:07.028Z,11/19/2019 20:22,0,96,-75
1.5742E+12,2019-11-19T20:37:07.082Z,11/19/2019 20:37,0,96,-75
1.5742E+12,2019-11-19T20:52:07.660Z,11/19/2019 20:52,0,60,-81
1.5742E+12,2019-11-19T21:07:07.625Z,11/19/2019 21:07,0,40,-84
1.5742E+12,2019-11-19T21:22:06.972Z,11/19/2019 21:22,0,44,-83
1.5742E+12,2019-11-19T21:37:07.039Z,11/19/2019 21:37,0,56,-81
1.5742E+12,2019-11-19T21:52:06.940Z,11/19/2019 21:52,0,68,-79
1.5742E+12,2019-11-19T22:07:07.057Z,11/19/2019 22:07,0,24,-86
1.5742E+12,2019-11-19T22:22:06.858Z,11/19/2019 22:22,0,56,-81
1.5742E+12,2019-11-19T22:37:06.948Z,11/19/2019 22:37,0,44,-83
1.5742E+12,2019-11-19T22:52:06.947Z,11/19/2019 22:52,0,24,-86
1.5742E+12,2019-11-19T23:07:06.857Z,11/19/2019 23:07,0,88,-76
1.57421E+12,2019-11-19T23:22:06.882Z,11/19/2019 23:22,0,56,-81
1.57421E+12,2019-11-19T23:37:06.827Z,11/19/2019 23:37,0,68,-79
